"site","replicate","Acroloxidae","Asellidae","Baicaliidae","Benedictidae","Brandtia_latissima","Brandtia_parasitica_parasitica","Caddisflies","Cryptoropus_inflatus","Cryptoropus_pachytus","Cryptoropus_rugosus","Eulimnogammarus_capreolus","Eulimnogammarus_cruentes","Eulimnogammarus_cyaneus","Eulimnogammarus_grandimanus","Eulimnogammarus_juveniles","Eulimnogammarus_maackii","Eulimnogammarus_marituji","Eulimnogammarus_verucossus","Eulimnogammarus_viridis_viridis","Eulimnogammarus_vittatus","Flatworms","Leeches","Maackia","Pallasea_brandtia_brandita","Pallasea_brandtii_tenera","Pallasea_cancelloides","Pallasea_cancellus","Pallasea_viridis","Planorbidae","Poekilogammarus_crassimus","Poekilogammarus_ephippiatus","Poekilogammarus_juveniles","Poekilogammarus_megonychus_perpolitus","Poekilogammarus_pictus","Valvatidae"
"BGO-1","1",0,7,20,29,0,0,4,3,3,33,3,0,23,1,104,9,2,14,5,25,0,16,0,0,0,8,0,0,22,26,2,324,2,0,14
"BGO-1","2",0,0,16,8,0,0,5,8,0,16,0,1,4,1,79,5,0,5,6,18,2,1,0,0,0,3,0,0,17,23,0,156,1,0,0
"BGO-1","3",0,0,5,6,1,0,1,1,2,12,0,3,9,0,60,4,0,0,15,13,1,6,0,0,0,6,2,0,11,21,0,137,0,0,0
"BGO-2","1",0,20,7,3,11,0,62,10,0,10,0,9,4,0,164,7,0,3,7,4,0,10,0,0,0,9,0,0,21,48,10,342,8,0,90
"BGO-2","2",1,8,12,9,20,0,108,25,0,19,0,0,5,9,126,23,0,39,12,40,0,9,0,0,0,2,10,0,35,113,14,269,5,0,13
"BGO-2","3",1,3,4,1,12,0,46,6,0,8,0,0,0,19,87,15,0,5,1,5,0,3,0,0,0,1,0,0,23,44,7,280,5,0,4
"BGO-3","1",0,0,1,1,0,0,1,3,0,1,0,0,3,0,7,0,0,9,0,1,1,3,0,0,0,0,1,0,5,12,78,102,2,0,3
"BGO-3","2",0,0,0,1,1,0,1,7,0,3,0,0,0,0,2,0,0,4,1,0,0,8,0,0,0,13,0,0,3,62,60,124,40,0,0
"BGO-3","3",0,0,0,0,0,0,5,4,1,2,1,0,4,0,25,1,0,18,0,2,1,10,0,0,0,4,1,0,3,78,58,128,2,0,2
"BK-1","1",2,0,0,0,13,0,28,32,0,0,0,0,3,0,93,18,5,44,0,23,33,43,0,0,0,5,0,0,0,139,17,670,18,0,4
"BK-1","2",2,0,0,0,6,0,3,30,0,0,0,0,0,0,50,17,0,7,13,24,3,2,0,0,0,9,0,0,0,71,25,225,5,14,2
"BK-1","3",0,0,0,0,15,0,8,34,0,3,0,0,14,0,64,20,33,27,0,2,10,47,0,0,0,11,0,0,1,158,14,579,64,0,0
"BK-2","1",0,11,47,8,64,0,4,18,0,14,0,18,6,7,406,17,0,18,0,5,13,10,0,0,0,0,0,8,57,67,8,97,4,0,23
"BK-2","2",0,6,11,0,18,0,7,12,0,5,0,0,0,8,180,4,0,19,11,3,11,15,0,0,0,0,0,5,0,17,1,111,0,0,12
"BK-3","1",1,1,0,1,7,0,13,14,0,0,0,0,0,2,162,11,0,12,0,4,0,42,0,0,0,2,5,0,1,16,7,122,0,0,0
"BK-3","2",0,5,2,2,18,0,3,8,0,4,0,0,3,7,419,19,1,9,0,26,0,44,0,0,0,1,7,0,1,75,12,244,2,0,0
"BK-3","3",0,1,2,3,7,0,13,11,0,0,0,0,7,2,178,6,1,13,1,13,1,0,0,0,0,0,0,0,1,21,7,98,2,0,0
"EM-1","1",0,0,1,0,6,0,59,0,0,0,0,0,129,0,240,20,0,52,1,13,6,18,0,0,0,0,1,0,4,23,5,481,0,0,6
"EM-1","2",0,0,5,0,3,0,18,68,0,0,0,0,226,0,179,26,8,25,11,11,12,21,0,0,0,0,1,0,0,153,6,431,5,18,13
"EM-1","3",0,0,0,0,0,0,0,19,0,0,0,0,133,48,158,6,0,33,0,10,13,7,0,0,0,0,0,0,0,132,28,108,5,0,1
"KD-1","2",5,0,10,11,39,0,0,12,0,5,0,0,10,2,436,16,0,27,13,24,0,12,0,0,0,0,7,0,39,88,4,482,4,1,33
"KD-2","1",0,11,30,0,25,0,30,3,0,0,0,24,0,0,175,15,2,13,32,14,1,7,0,0,0,0,9,0,0,34,4,53,3,0,45
"KD-2","2",7,6,25,0,33,0,18,11,0,0,0,14,13,0,606,5,0,6,0,10,6,22,0,0,0,0,6,0,0,20,6,100,2,5,80
"LI-1","3",0,0,0,0,3,0,2,5,0,1,0,0,35,0,858,1,0,31,0,8,1,10,0,0,0,0,0,0,1,20,4,292,0,0,0
"LI-2","1",0,0,0,0,0,0,0,7,0,3,0,0,9,0,104,0,0,22,8,12,1,11,0,0,0,5,3,0,1,59,37,608,3,0,0
"LI-2","2",0,0,0,1,0,0,0,10,0,1,0,0,8,1,56,1,0,6,0,7,0,4,0,0,0,0,2,0,0,23,32,511,4,0,0
"LI-2","3",1,0,0,0,2,0,1,10,0,2,1,0,1,0,30,0,0,4,0,11,0,2,0,0,0,1,2,0,1,47,18,327,4,1,0
"LI-3","1",0,0,0,0,3,0,1,4,0,0,0,0,55,10,664,6,0,53,9,58,5,28,0,0,0,4,0,0,0,82,2,251,1,0,0
"LI-3","2",0,0,0,0,3,0,0,0,0,0,0,0,42,2,327,12,0,23,7,13,4,18,0,0,0,9,0,0,0,76,3,344,4,0,0
"LI-3","3",0,0,0,0,6,0,7,3,0,0,0,0,42,0,203,6,0,34,0,14,10,23,0,0,0,5,0,0,0,85,27,475,0,0,0
"MS-1","1",0,0,0,0,28,0,57,3,0,0,0,0,3,0,69,1,0,44,5,3,12,12,0,0,0,0,0,0,0,45,16,124,5,5,8
"MS-1","2",0,0,1,0,7,21,106,0,0,0,0,0,0,0,76,0,0,83,0,0,3,6,0,0,0,3,0,0,0,86,6,75,0,7,15
"MS-1","3",0,0,8,0,72,0,143,0,0,0,0,0,38,0,47,28,0,32,0,28,9,18,0,0,0,0,1,0,4,138,26,127,60,31,0
"SM-1","1",0,0,0,0,9,0,27,0,0,0,0,0,11,0,222,19,0,15,8,10,4,13,0,0,3,0,0,11,0,72,8,413,8,42,2
"SM-1","2",0,2,0,0,8,0,19,0,0,0,0,1,16,0,384,17,0,22,0,3,5,23,0,0,0,0,0,16,0,101,11,478,16,63,19
"SM-1","3",0,0,2,0,13,10,27,0,0,0,0,3,27,0,517,20,0,30,5,7,2,21,2,6,0,0,0,16,4,43,11,146,10,19,4
