GC_ID,sample#,location,spp,C12.0,i-14.0,C14.0,C14.1n5,i-15.0,a-15.0,C15.0,C15.1w7,i-16.0,C16.0,C16.1w9,C16.1w8,C16.1w7,C16.1w6,C16.1w5,i-17.0,a-17.0,C17.0,C17.1n7,C16.2w7,C16.2w6,C16.2w4,C16.3w6,C16.3w4,C16.3w3,C16.4w3,C16.4w1,C18.0,C18.1w9,C18.1w7,C18.2w6t,C18.2w6,C18.3w6,C18.3w3,C18.4w4,C18.4w3,C18.5w3,C20.0,C20.1w9,C20.1w7,"C20.2-5,11","C20.2-5,13",C20.2w6,C20.3w6,C20.4w6,C20.3w3,C20.4w3,C20.5w3,C22.0,C22.1w9,C22.1w7,C22.2w6,C22.4w6,C22.5w6,C22.3w3,C22.4w3,C22.5w3,C22.6w3,C24.0,w-3,C16w-3,C18w-3,C20w-3,C22w-3,ALA+SDA,EPA,DHA,w-6,LIN,ARA,DPA,BrFA,C16MUFA,C18MUFA,MUFA,SAFA,LSAFA,LCPUFA,LCEFA,comments
201702.MFM_01_562017_1.qgd,1,BK-2,Drapa,0.030953271,0.006981308,0.935432243,0.031100467,0.075007009,0.01114486,0.074292056,0,0.007233645,18.67401168,0.572425234,0,1.477850467,0,0.143474299,0.019514019,0,0.06075,0,0,0.060350467,0,0,0.700591121,0.705953271,20.24913785,0.028577103,0.964829439,4.177892523,0.520149533,0,4.42938785,0.125768692,57.73466355,0,6.848852804,0,0.169549065,0,0,0,0,0.032950935,0,0.009336449,0.117609813,0.463331776,0.240413551,0.671320093,0,0,0,0,0.015308411,0,0,0,0.023004673,0,86.38296729,20.95509112,64.58351636,0.82135514,0.023004673,62.1640514,0.240413551,0.023004673,4.673102804,4.42938785,0.009336449,0.015308411,0.119880841,2.19375,0,6.891792056,21.58113785,0.671320093,0.272754673,0.869004673,
201702.MFM_02_562017_2.qgd,2,SM-1,E.ver,0.029901869,0.000420561,0.198273364,0.005235981,0.006834112,0,0.012574766,0,0.002186916,1.170925234,0.014320093,0,0.345070093,0,0.347214953,0.005530374,0.005635514,0.013962617,0,0,0.043233645,0,0,0.017095794,0.023299065,0.087098131,0.023383178,0.371439252,1.557883178,0.130899533,0,0.259170561,0.005929907,0.284025701,0,0.169170561,0,0.033939252,0,0,0,0,0.033434579,0,0.065838785,0.048028037,0.028724299,0.487724299,0,0,0,0,0,0,0,0,0,0.19682243,0,1.324892523,0.110397196,0.453196262,0.564476636,0.19682243,0.543196262,0.487724299,0.19682243,0.407607477,0.259170561,0.065838785,0,0.020607477,0.70660514,0,2.39538785,1.831016355,0,0.750385514,0.82713785,Sample lost lipid during extraction. Proportions are consistent though.
201702.MFM_03_562017_3.qgd,3,MS-1,E.ver,0.027545455,0.002818182,0.356727273,0.010681818,0.008227273,0.008977273,0.014022727,0,0.001977273,1.881704545,0,0,0.745431818,0,0.005477273,0.009568182,0.004909091,0.017136364,0,0,0.09525,0,0,0.0455,0.044022727,0.121931818,0.083204545,0.368727273,2.608590909,0.223386364,0,0.332681818,0.033181818,0.346977273,0,0.259181818,0,0.065045455,0,0,0,0,0.033363636,0,0.088045455,0.048818182,0.03725,0.968545455,0,0,0,0,0,0.003454545,0,0,0.065522727,0.291204545,0,2.183454545,0.165954545,0.606159091,1.054613636,0.356727273,0.679659091,0.968545455,0.291204545,0.585977273,0.332681818,0.088045455,0.003454545,0.036477273,0.750909091,0,3.582886364,2.730909091,0,1.347795455,1.502840909,Sample lost lipid during extraction. Proportions are consistent though.
201702.MFM_04_562017_4.qgd,4,BK-2,E.ver,3.269358173,0.162454327,46.49244231,1.811963942,0.510057692,0.210634615,0.581841346,0,0.09253125,145.6343654,1.242649038,0,86.73572596,0,0.45421875,0.49471875,0.202997596,0.434401442,0,0.565961538,13.10692067,0,0,6.772305288,5.612278846,21.5027524,16.75559856,9.010319712,237.490226,22.37244231,0,20.0266226,3.931615385,39.31524519,0,45.21807692,0,4.854137019,0,0,0,0,2.323882212,1.015355769,5.140081731,5.392990385,4.818158654,114.9242668,0.074033654,0,0,0,2.287081731,0.667644231,0,0,5.841908654,17.14748798,0,259.7731659,27.11503125,84.53332212,125.1354159,22.98939663,59.34186779,114.9242668,17.14748798,48.49920433,20.0266226,5.140081731,0.667644231,1.673394231,88.43259375,0,348.295262,210.350899,0.074033654,137.2118365,157.234976,
201702.MFM_05_562017_5.qgd,5,BGO-2,E.ver,3.954834184,0.244607143,56.83440306,2.220841837,0.775561224,0.36365051,0.712538265,0,0.13892602,180.0329464,1.962757653,0,101.2182245,0,0.675688776,0.623204082,0.33355102,0.650181122,0,0.675596939,11.49476786,0,0,4.749267857,9.507329082,35.50660714,15.18531888,13.78166327,317.6769949,28.13377041,0,32.37736224,15.0182449,66.06264031,0,65.061,0,6.549658163,0,0,0,0,3.587119898,1.044183673,6.356869898,9.134357143,6.070936224,100.7534388,0.146456633,0,0,0,2.160642857,1.006117347,0,0,8.03757398,20.03709949,0,320.1709821,45.01393622,131.1236403,115.9587321,28.07467347,98.44000255,100.7534388,20.03709949,73.04530867,32.37736224,6.356869898,1.006117347,2.4795,103.8566709,0,449.6674362,262.6626811,0.146456633,127.1474082,154.6012194,
201702.MFM_06_562017_6.qgd,6,BGO-1,E.ver,1.72,0.1875,24.97781818,0.861977273,0.7265,0.259318182,0.791159091,0,0.145931818,115.2768182,0.895136364,0,78.19777273,0,0.649227273,0.663568182,0.231613636,0.732727273,0,0.824522727,11.11190909,0,0,4.376795455,2.823840909,10.02290909,9.581386364,7.965795455,143.6981364,21.69465909,0,21.45929545,3.238977273,30.78511364,0,27.80352273,0,3.673886364,0,0,0,0,3.009954545,0.974863636,6.433318182,4.120795455,3.586363636,124.6794773,0.090795455,0,0,0,2.292568182,1.439,0,0,5.237931818,19.04511364,0,228.1050682,12.84675,58.58863636,132.3866364,24.28304545,52.24440909,124.6794773,19.04511364,49.95988636,21.45929545,6.433318182,1.439,2.214431818,79.74213636,0,245.1349318,155.229,0.090795455,150.1579091,167.8094318,
201702.MFM_07_562017_7.qgd,7,BGO-1,P.can,3.4350975,0.1626525,16.54551,0.7857,0.247725,0.1275525,0.39411,0,0.14526,63.6845175,0.65322,0,39.9785175,0,0.37422,0.6303375,0.38241,0.6556275,0,0.505485,4.4836875,0,0,1.2265425,0.93393,2.4908625,3.83652,4.54041,97.60995,19.061055,0,10.7037,1.787085,13.5750375,0,9.2893725,0,3.043665,0,0,0,0,2.2226175,0.8815275,6.37479,2.551815,1.81881,83.2655475,0.251775,0,0,0,1.193985,0.576405,0,0,4.5650925,23.4137475,0,141.904215,3.4247925,22.86441,87.6361725,27.97884,24.2787375,83.2655475,23.4137475,28.2237975,10.7037,6.37479,0.576405,1.6959375,41.0059575,0,157.6769625,92.5507125,0.251775,113.054085,124.64172,
201702.MFM_08_562017_8.qgd,8,BGO-2,P.can,4.8706875,0.174504808,22.71989423,0.831418269,0.371076923,0.146985577,0.529009615,0,0.144519231,14.83732212,0.938790865,0,33.55528846,0,0.382240385,0.690771635,0.384858173,0.788862981,0,0.598694712,9.550514423,0,0,4.335295673,2.924632212,9.619052885,9.096576923,8.063372596,137.016887,18.79323317,0,14.01845192,2.293528846,29.83634135,0,25.29424038,0,4.563043269,0,0,0,0,2.21625,1.089346154,6.287495192,4.347670673,4.189326923,108.0589976,0.1591875,0,0,0,2.678971154,0.733564904,0,0,4.812100962,13.09621154,0,202.1785745,12.5436851,55.13058173,116.5959952,17.9083125,43.85479327,108.0589976,13.09621154,38.8681226,14.01845192,6.287495192,0.733564904,1.912716346,34.87631971,0,190.6864399,56.53137981,0.1591875,127.4427043,145.2936851,
201702.MFM_09_562017_9.qgd,9,BK-2,P.can,4.09415625,0.205355769,18.77066827,0.626949519,0.264721154,0.119055288,0.407639423,0,0.135346154,75.46138702,0.738021635,0,48.12126923,0,0.326293269,0.510620192,0.220002404,0.526867788,0,0.39346875,8.189891827,0,0,3.489728365,2.618610577,8.78484375,8.29265625,5.09625,93.74612019,13.71201923,0,11.57025721,2.48625,19.90977404,0,23.58876202,0,2.821673077,0,0,0,0,1.983461538,0.778564904,4.354896635,2.896096154,2.807091346,89.80823077,0.112608173,0,0,0,2.05003125,0.544954327,0,0,5.027105769,13.53015865,0,168.9706731,11.40345433,43.49853606,95.51141827,18.55726442,31.48003125,89.80823077,13.53015865,31.95830769,11.57025721,4.354896635,0.544954327,1.455100962,49.18558413,0,156.6437236,107.29125,0.112608173,107.6932861,121.7971298,
201702.MFM_11_562017_11.qgd,11,BK-2,Spl.zone,0.04975,0.009613636,3.542522727,0.016545455,0.088113636,0.023340909,0.070113636,0,0.009977273,20.32872727,0.427386364,0,1.179113636,0,0.079409091,0.018772727,0.018545455,0.068772727,0,0,0.105477273,0,0,0.041113636,2.791295455,13.32188636,0.070454545,0.773931818,1.928113636,2.751636364,0,8.78475,0.506159091,21.71736364,0,24.133,0,1.195590909,0,0,0,0,0.099181818,0.026477273,0.267431818,0.192068182,0.225727273,4.414659091,0.303318182,0,0,0,0.152795455,0.002772727,0,0,2.374977273,0.303113636,0,69.47409091,16.11318182,45.85036364,4.832454545,2.678090909,30.50211364,4.414659091,0.303113636,9.945045455,8.78475,0.267431818,0.002772727,0.168363636,1.685909091,0,6.365659091,26.33272727,0.303318182,4.985204545,7.960022727,
201702.MFM_12_562017_12.qgd,12,SM-1,Spl.zone,0.236686224,0.014142857,3.268744898,0.020043367,0.050188776,0.014119898,0.049706633,0,0.007668367,15.80941837,0.214232143,0,1.631732143,0,0.048053571,0.014487245,0.014487245,0.041716837,0,0,0.079071429,0,0,0.051704082,1.625923469,7.358693878,0.048994898,0.659869898,1.682173469,2.616405612,0,8.159831633,0.268943878,14.81232398,0,12.98619643,0,1.44844898,0,0,0,0,0.076959184,0,0.175821429,0.112431122,0.153,3.221196429,0.164686224,0,0,0,0,0,0,0,1.559227041,0.055767857,0,41.8847602,8.984617347,27.79852041,3.486627551,1.614994898,22.97215561,3.221196429,0.055767857,8.760627551,8.159831633,0.175821429,0,0.115094388,1.894017857,0,6.192596939,21.67927806,0.164686224,3.452785714,5.277443878,
201702.MFM_13_562017_13.qgd,13,MS-1,Spl.zone,0.2412675,0.00963,3.663,0.0245925,0.06903,0.0168075,0.0603675,0,0.007695,17.0542575,0.3138525,0,1.7385075,0,0,0.0163125,0,0.0507825,0,0,0.1535625,0,0,0.0730125,3.105945,11.864385,0.1245825,0.55665,1.642725,2.053755,0,7.234605,0.3276,18.36576,0,15.6602475,0,1.0518075,0,0,0,0,0.0664425,0,0.2285775,0.1318725,0.1662975,3.51324,0.21042,0,0,0,0,0,0,0,1.5598575,0.1800225,0,54.5476275,14.97033,34.0260075,3.81141,1.73988,25.600365,3.51324,0.1800225,8.0107875,7.234605,0.2285775,0,0.119475,2.05236,0,5.74884,22.8885525,0.21042,3.92184,5.7798675,
201702.MFM_14_562017_14.qgd,14,EM-1,Spl.zone,0.247594737,0.016271053,2.611515789,0.025436842,0.078726316,0.023044737,0.052531579,0,0.011747368,11.95695,0.198568421,0,1.906721053,0,0.069631579,0.022286842,0.022286842,0.048931579,0,0,0.180615789,0,0,0.087607895,1.899971053,7.660563158,0.122873684,0.738,1.399618421,1.547502632,0,5.224571053,0.267513158,13.83292895,0,11.29888421,0,0.690868421,0,0,0,0,0.044786842,0,0.195821053,0.084410526,0.171023684,3.212644737,0.128463158,0,0,0,0,0.004026316,0,0,1.025621053,0.34245,0,39.52849737,9.560534211,25.13181316,3.468078947,1.368071053,19.0575,3.212644737,0.34245,5.917334211,5.224571053,0.195821053,0.004026316,0.174363158,2.174921053,0,5.122042105,16.47485526,0.128463158,3.750915789,5.035997368,
201702.MFM_15_562017_15.qgd,15,BGO-1,Spl.zone,0.09171,0.02205,5.3673075,0.04014,0.1522575,0.0346275,0.07902,0,0.0110025,20.2899825,0.2675925,0,1.2462525,0,0.0985725,0.02592,0.007785,0.0621225,0,0,0.1168425,0,0,0.0433125,2.1448575,13.26564,0.056205,0.65088,1.899135,2.1796875,0,7.5564675,0.4797225,15.9963525,0,20.2087575,0,1.0123425,0,0,0,0,0.09999,0,0.3849075,0.1694475,0.1419075,4.3100325,0.2691225,0,0,0,0,0,0,0,2.32263,0.1554525,0,58.7150775,15.4104975,36.20511,4.6213875,2.4780825,23.55282,4.3100325,0.1554525,8.63793,7.5564675,0.3849075,0,0.2536425,1.6124175,0,5.69124,27.8224875,0.2691225,4.8503925,7.4843775,
201702.MFM_16_562017_16.qgd,16,BGO-2,Spl.zone,0.026984589,0.011542808,0.830958904,0.006981164,0.041840753,0.016474315,0.038234589,0,0.006565068,4.898357877,0.077979452,0,2.416869863,0,0.046217466,0.010063356,0.008660959,0.021575342,0,0,0.059270548,0,0,0.019186644,0.367736301,0.724037671,0.032332192,0.296753425,0.606806507,0.496833904,0,1.135510274,0.092712329,2.442174658,0,1.36527226,0,0.141256849,0,0,0,0,0.014532534,0,0.097659247,0.032116438,0.039190068,0.889905822,0.046371575,0,0,0,0,0.004114726,0,0,0.221008562,0.036107877,0,6.117549658,1.091773973,3.807446918,0.961212329,0.257116438,3.577684932,0.889905822,0.036107877,1.403799658,1.135510274,0.097659247,0.004114726,0.09514726,2.541066781,0,3.644707192,6.300493151,0.046371575,1.023672945,1.32010274,
201702.MFM_17_562017_17.qgd,17,KD-2,Spl.zone,0.297252336,0.045672897,4.099121495,0.039280374,0.22361215,0.035390187,0.091871495,0,0.022058411,20.51772897,0.491404206,0,3.344025701,0,0.159434579,0.053684579,0.05088785,0.071306075,0,0,0.029586449,0,0,0.152915888,1.648724299,5.762481308,0.140614486,0.899285047,1.90467757,2.782913551,0,6.043226636,0.310037383,13.04169393,0,11.16229206,0,0.963420561,0,0,0,0,0.088675234,0,0.273364486,0.146165888,0.205002336,4.009184579,0.269221963,0,0,0,0,0.023530374,0,0,1.444205607,0.508731308,0,37.92848131,7.411205607,24.20398598,4.360352804,1.952936916,19.08492056,4.009184579,0.508731308,6.768420561,6.043226636,0.273364486,0.023530374,0.431306075,3.994864486,0,8.682455607,27.20920794,0.269221963,4.791280374,6.610184579,
201702.MFM_18_562017_18.qgd,18,KD-2,Drapa,0.021558673,0.007989796,0.976385204,0.017403061,0.057627551,0.008173469,0.065663265,0,0.004798469,16.79009694,0.50457398,0,6.067790816,0,0.133438776,0.018160714,0,0.052186224,0,0,0.168864796,0,0,0.602655612,0.602655612,12.46394388,0.080632653,0.586285714,4.88532398,0.27505102,0,4.271119898,0.147352041,43.52514796,0,4.864086735,0,0.167487245,0,0,0,0,0,0,0.059028061,0.128181122,0.384795918,0.508798469,0.631033163,0,0,0,0,0.002755102,0,0,0.003811224,0.05034949,0,62.53177041,13.06659949,48.38923469,1.02177551,0.054160714,47.79626786,0.508798469,0.05034949,4.649119898,4.271119898,0.059028061,0.002755102,0.09675,6.705803571,0,11.86617857,19.29069643,0.631033163,0.61817602,1.137719388,
201702.MFM_19_562017_19.qgd,19,MS-1,Drapa,0.04190625,0.008273438,2.489648438,0.050296875,0.16396875,0.012492188,0.117960938,0,0.009421875,29.93610938,0.749789063,0,10.58922656,0,0.314460938,0.039046875,0.009,0.074460938,0,0,0.406242188,0,0,0.001453125,1.915546875,28.95283594,0.317179688,0.916851563,5.759109375,0.553617188,0,6.330351563,0.135421875,67.10097656,0,7.73990625,0,0.175359375,0,0,0,0,0.028195313,0,0.0961875,0.217945313,0.731601563,1.591148438,0.7179375,0,0,0,0,0,0,0,0,0.211898438,0,108.4618594,30.86838281,74.84088281,2.540695313,0.211898438,73.43132813,1.591148438,0.211898438,6.996398438,6.330351563,0.0961875,0,0.242203125,11.65347656,0,17.96620313,34.47023438,0.7179375,1.899234375,2.84878125,
